Constituency,const no,leading candidate,leading party,Leading In,Won in,Trailing in,trailing candidate,trailing party,Leading in2,Won in3,Trailing in4,Margin,Status,State
Purnia,12,RAJESH RANJAN ALIAS PAPPU YADAV,Independent,0,1,0,SANTOSH KUMAR,Janata Dal  (United),0,12,0,23847,Result Declared,Bihar
Purvi Champaran,3,RADHA MOHAN SINGH,Bharatiya Janata Party,0,12,0,DR RAJESH KUMAR,Vikassheel Insaan Party,0,0,0,88287,Result Declared,Bihar
Samastipur,23,SHAMBHAVI,Lok Janshakti Party(Ram Vilas),0,5,0,SUNNY HAZARI,Indian National Congress,0,3,0,187251,Result Declared,Bihar
Saran,20,RAJIV PRATAP RUDY,Bharatiya Janata Party,0,12,0,ROHINI ACHARYA,Rashtriya Janata Dal,0,4,0,13661,Result Declared,Bihar
Sasaram,34,MANOJ KUMAR,Indian National Congress,0,3,0,SHIVESH KUMAR,Bharatiya Janata Party,0,12,0,19157,Result Declared,Bihar
Sheohar,4,LOVELY ANAND,Janata Dal  (United),0,12,0,RITU JAISWAL,Rashtriya Janata Dal,0,4,0,29143,Result Declared,Bihar
Sitamarhi,5,DEVESH CHANDRA THAKUR,Janata Dal  (United),0,12,0,ARJUN RAY,Rashtriya Janata Dal,0,4,0,51356,Result Declared,Bihar
Siwan,18,VIJAYLAKSHMI DEVI,Janata Dal  (United),0,12,0,HENA SHAHAB,Independent,0,1,0,92857,Result Declared,Bihar
Supaul,8,DILESHWAR KAMAIT,Janata Dal  (United),0,12,0,CHANDRAHAS CHAUPAL,Rashtriya Janata Dal,0,4,0,169803,Result Declared,Bihar
Ujiarpur,22,NITYANAND RAI,Bharatiya Janata Party,0,12,0,ALOK KUMAR MEHTA,Rashtriya Janata Dal,0,4,0,60102,Result Declared,Bihar
Vaishali,16,VEENA DEVI,Lok Janshakti Party(Ram Vilas),0,5,0,VIJAY KUMAR SHUKLA,Rashtriya Janata Dal,0,4,0,89634,Result Declared,Bihar
Valmiki Nagar,1,SUNIL KUMAR,Janata Dal  (United),0,12,0,DEEPAK YADAV,Rashtriya Janata Dal,0,4,0,98675,Result Declared,Bihar
Chandigarh,1,MANISH TEWARI,Indian National Congress,0,1,0,SANJAY TANDON,Bharatiya Janata Party,0,0,0,2504,Result Declared,Chandigarh
Ladakh,1,MOHMAD HANEEFA,Independent,0,1,0,TSERING NAMGYAL,Indian National Congress,0,0,0,27862,Result Declared,Ladakh
Lakshadweep,1,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,0,1,0,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,0,0,0,2647,Result Declared,Lakshadweep
MIZORAM,1,RICHARD VANLALHMANGAIHA,Zoram People’s Movement,0,1,0,K VANLALVENA,Mizo National Front,0,0,0,68288,Result Declared,Mizoram
Nagaland,1,S SUPONGMEREN JAMIR,Indian National Congress,0,1,0,DR CHUMBEN MURRY,Nationalist Democratic Progressive Party,0,0,0,50984,Result Declared,Nagaland
PUDUCHERRY,1,VE VAITHILINGAM,Indian National Congress,0,1,0,A NAMASSIVAYAM,Bharatiya Janata Party,0,0,0,136516,Result Declared,Pudhucherry
AJMER,13,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,0,14,0,RAMCHANDRA CHOUDHARY,Indian National Congress,0,8,0,329991,Result Declared,Rajasthan
ALWAR,8,BHUPENDER YADAV,Bharatiya Janata Party,0,14,0,LALIT YADAV,Indian National Congress,0,8,0,48282,Result Declared,Rajasthan
BANSWARA,20,RAJ KUMAR ROAT,Bharat Adivasi Party,0,1,0,MAHENDRAJEETSINGH MALVIYA,Bharatiya Janata Party,0,14,0,247054,Result Declared,Rajasthan
BARMER,17,UMMEDA RAM BENIWAL,Indian National Congress,0,8,0,RAVINDRA SINGH BHATI,Independent,0,0,0,118176,Result Declared,Rajasthan
BHARATPUR,9,SANJNA JATAV,Indian National Congress,0,8,0,RAMSWAROOP KOLI,Bharatiya Janata Party,0,14,0,51983,Result Declared,Rajasthan
BHILWARA,23,DAMODAR AGARWAL,Bharatiya Janata Party,0,14,0,C P JOSHI,Indian National Congress,0,8,0,354606,Result Declared,Rajasthan
BIKANER,2,ARJUN RAM MEGHWAL,Bharatiya Janata Party,0,14,0,GOVINDRAM MEGHWAL,Indian National Congress,0,8,0,55711,Result Declared,Rajasthan
CHITTORGARH,21,CHANDRA PRAKASH JOSHI,Bharatiya Janata Party,0,14,0,ANJANA UDAILAL,Indian National Congress,0,8,0,389877,Result Declared,Rajasthan
CHURU,3,RAHUL KASWAN,Indian National Congress,0,8,0,DEVENDRA JHAJHARIA,Bharatiya Janata Party,0,14,0,72737,Result Declared,Rajasthan
DAUSA,11,MURARI LAL MEENA,Indian National Congress,0,8,0,KANHAIYA LAL MEENA,Bharatiya Janata Party,0,14,0,237340,Result Declared,Rajasthan
GANGANAGAR,1,KULDEEP INDORA,Indian National Congress,0,8,0,PRIYANKA BALAN MEGHWAL,Bharatiya Janata Party,0,14,0,88153,Result Declared,Rajasthan
JAIPUR,7,MANJU SHARMA,Bharatiya Janata Party,0,14,0,PRATAP SINGH KHACHARIYAWAS,Indian National Congress,0,8,0,331767,Result Declared,Rajasthan
JAIPUR RURAL,6,RAO RAJENDRA SINGH,Bharatiya Janata Party,0,14,0,ANIL CHOPRA,Indian National Congress,0,8,0,1615,Result Declared,Rajasthan
JALORE,18,LUMBARAM,Bharatiya Janata Party,0,14,0,VAIBHAV GEHLOT,Indian National Congress,0,8,0,201543,Result Declared,Rajasthan
JHALAWAR-BARAN,25,DUSHYANT SINGH,Bharatiya Janata Party,0,14,0,URMILA JAIN “BHAYA”,Indian National Congress,0,8,0,370989,Result Declared,Rajasthan
JHUNJHUNU,4,BRIJENDRA SINGH OLA,Indian National Congress,0,8,0,SHUBHKARAN CHOUDHARY,Bharatiya Janata Party,0,14,0,18235,Result Declared,Rajasthan
JODHPUR,16,GAJENDRA SINGH SHEKHAWAT,Bharatiya Janata Party,0,14,0,KARAN SINGH UCHIYARDA,Indian National Congress,0,8,0,115677,Result Declared,Rajasthan
KARAULI-DHOLPUR,10,BHAJAN LAL JATAV,Indian National Congress,0,8,0,INDU DEVI,Bharatiya Janata Party,0,14,0,98945,Result Declared,Rajasthan
KOTA,24,OM BIRLA,Bharatiya Janata Party,0,14,0,PRAHLAD GUNJAL,Indian National Congress,0,8,0,41974,Result Declared,Rajasthan
NAGAUR,14,HANUMAN BENIWAL,Rashtriya Loktantrik Party,0,1,0,JYOTI MIRDHA,Bharatiya Janata Party,0,14,0,42225,Result Declared,Rajasthan
PALI,15,P.P.CHAUDHARY,Bharatiya Janata Party,0,14,0,SANGEETHA BENIWAL,Indian National Congress,0,8,0,245351,Result Declared,Rajasthan
RAJSAMAND,22,MAHIMA KUMARI MEWAR,Bharatiya Janata Party,0,14,0,DR.DAMODAR GURJAR,Indian National Congress,0,8,0,392223,Result Declared,Rajasthan
SIKAR,5,AMRARAM,communist party of india (markxist),0,1,0,SUMEDHANAND SARASWATI,Bharatiya Janata Party,0,14,0,72896,Result Declared,Rajasthan
TONK-SAWAI MADHOPUR,12,HARISH CHANDRA MEEMA,indian national congress,0,8,0,SUKAHDIR SINGH JAUNAPURIA,Bharatiya Janata Party,0,14,0,64949,Result Declared,Rajasthan
UDAIPUR,19,MANNA LAL RAWAT,Bharatiya Janata Party,0,14,0,TARACHAND MEENA,Indian National Congress,0,8,0,261608,Result Declared,Rajasthan
Sikkim,1,INDRA HANG SUBBA,Sikkim Krantikari Morcha,0,1,0,BHARAT BASNETT,Citizen Action Party-Sikkim,0,0,0,80830,Result Declared,Sikkim
Adilabad,1,GODAM NAGESH,Bharatiya Janata Party,0,8,0,ATHRAM SUGUNA,Indian National Congress,0,8,0,90652,Result Declared,telangana
Bhongir,14,CHAMALA KIRAN KUMAR REDDY,Indian National Congress,0,8,0,DR. BOORA NARSAIAH GOUD,Bharatiya Janata Party,0,8,0,222170,Result Declared,telangana
Chevella,10,KONDA VISHWESHWAR REDDY,Bharatiya Janata Party,0,8,0,DR GADDAM RANJITH REDDY,Indian National Congress,0,8,0,172897,Result Declared,telangana
Hyderabad,9,ASADUDDIN OWAISI,All India Majlis-E-Ittehadul Muslimeen,0,1,0,MADHAVI LATHA KOMPELLA,Bharatiya Janata Party,0,8,0,338087,Result Declared,telangana
Karimnagar,3,BANDI SANJAY KUMAR,Bharatiya Janata Party,0,8,0,VELCHALA RAJENDER RAO,Indian National Congress,0,8,0,225209,Result Declared,telangana
Khammam,17,RAMASAHAYAM RAGHURAM REDDY,Indian National Congress,0,8,0,NAMA NAGESWARA RAO,Bharat Rashtra Samithi,0,0,0,467847,Result Declared,telangana
Mahabubabad,16,BALRAM NAIK PORIKA,Indian National Congress,0,8,0,KAVITHA MALOTH,Bharat Rashtra Samithi,0,0,0,349165,Result Declared,telangana
Mahbubnagar,11,ARUNA. D. K,Bharatiya Janata Party,0,8,0,CHALLA VAMSHI CHAND REDDY,Indian National Congress,0,8,0,4500,Result Declared,telangana
Malkajgiri,7,EATALA RAJENDER,Bharatiya Janata Party,0,8,0,PATNAM SUNEETHA MAHENDER REDDY,Indian National Congress,0,8,0,391475,Result Declared,telangana
Medak,6,MADHAVANENI RAGHUNANDAN RAO,Bharatiya Janata Party,0,8,0,NEELAM MADHU,Indian National Congress,0,8,0,39139,Result Declared,telangana
Nagarkurnool,12,DR.MALLU RAVI,Indian National Congress,0,8,0,BHARATH  PRASAD POTHUGANTI,Bharatiya Janata Party,0,8,0,94414,Result Declared,telangana
Nalgonda,13,KUNDURU RAGHUVEER,Indian National Congress,0,8,0,SAIDI REDDY SHANAMPUDI,Bharatiya Janata Party,0,8,0,559905,Result Declared,telangana
Nizamabad,4,ARVIND DHARMAPURI,Bharatiya Janata Party,0,8,0,JEEVANREDDY THATIPARTHI,Indian National Congress,0,8,0,109241,Result Declared,telangana
Peddapalle,2,VAMSI KRISHNA GADDAM,Indian National Congress,0,8,0,SRINIVAS GOMASE,Bharatiya Janata Party,0,8,0,131364,Result Declared,telangana
Secunderabad,8,G. KISHAN REDDY,Bharatiya Janata Party,0,8,0,DANAM NAGENDER,Indian National Congress,0,8,0,49944,Result Declared,telangana
Warangal,15,KADIYAM KAVYA,Indian National Congress,0,8,0,AROORI RAMESH,Bharatiya Janata Party,0,8,0,220339,Result Declared,telangana
Zahirabad,5,SURESH KUMAR SHETKAR,Indian National Congress,0,8,0,B. B. PATIL,Bharatiya Janata Party,0,8,0,46188,Result Declared,telangana
Tripura East,2,KRITI DEVI DEBBARMAN,Bharatiya Janata Party,0,2,0,RAJENDRA REANG,Communist Party of India  (Marxist),0,0,0,486819,Result Declared,tripura
Tripura West,1,BIPLAB KUMAR DEB,Bharatiya Janata Party,0,2,0,ASISH KUMAR SAHA,Indian National Congress,0,0,0,611578,Result Declared,tripura
ANANTNAG-RAJOURI,3,MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,0,2,0,MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,0,0,0,281794,Result Declared,Jammu And Kashmir
BARAMULLA,1,ABDUL RASHID SHEIKH,Independent,0,1,0,OMAR ABDULLAH,Jammu & Kashmir National Conference,0,2,0,204142,Result Declared,Jammu And Kashmir
JAMMU,5,JUGAL KISHORE,Bharatiya Janata Party,0,2,0,RAMAN BHALLA,Indian National Congress,0,0,0,135498,Result Declared,Jammu And Kashmir
SRINAGAR,2,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,0,2,0,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,0,0,0,188416,Result Declared,Jammu And Kashmir
UDHAMPUR,4,DR JITENDRA SINGH,Bharatiya Janata Party,0,2,0,CH LAL SINGH,Indian National Congress,0,0,0,124373,Result Declared,Jammu And Kashmir
Chatra,4,KALI CHARAN SINGH,Bharatiya Janata Party,0,8,0,KRISHNA NAND TRIPATHI,Indian National Congress,0,2,0,220959,Result Declared,Jharkand
Dhanbad,7,DULU MAHATO,Bharatiya Janata Party,0,8,0,ANUPAMA SINGH,Indian National Congress,0,2,0,331583,Result Declared,Jharkand
Dumka,2,NALIN SOREN,Jharkhand Mukti Morcha,0,3,0,SITA MURMU,Bharatiya Janata Party,0,8,0,22527,Result Declared,Jharkand
Giridih,6,CHANDRA PRAKASH CHOUDHARY,AJSU Party,0,1,0,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,0,3,0,80880,Result Declared,Jharkand
Godda,3,NISHIKANT DUBEY,Bharatiya Janata Party,0,8,0,PRADEEP YADAV,Indian National Congress,0,2,0,101813,Result Declared,Jharkand
Hazaribagh,14,MANISH JAISWAL,Bharatiya Janata Party,0,8,0,JAI PRAKASH BHAI PATEL,Indian National Congress,0,2,0,276686,Result Declared,Jharkand
Jamshedpur,9,BIDYUT BARAN MAHATO,Bharatiya Janata Party,0,8,0,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,0,3,0,259782,Result Declared,Jharkand
Khunti,11,KALI CHARAN MUNDA,Indian National Congress,0,2,0,ARJUN MUNDA,Bharatiya Janata Party,0,8,0,149675,Result Declared,Jharkand
Kodarma,5,ANNPURNA DEVI,Bharatiya Janata Party,0,8,0,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),0,0,0,377014,Result Declared,Jharkand
Lohardaga,12,SUKHDEO BHAGAT,Indian National Congress,0,2,0,SAMIR ORAON,Bharatiya Janata Party,0,8,0,139138,Result Declared,Jharkand
Palamau,13,VISHNU DAYAL RAM,Bharatiya Janata Party,0,8,0,MAMTA BHUIYAN,Rashtriya Janata Dal,0,0,0,288807,Result Declared,Jharkand
Rajmahal,1,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,0,3,0,TALA MARANDI,Bharatiya Janata Party,0,8,0,178264,Result Declared,Jharkand
Ranchi,8,SANJAY SETH,Bharatiya Janata Party,0,8,0,YASHASWINI SAHAY,Indian National Congress,0,2,0,120512,Result Declared,Jharkand
Singhbhum,10,JOBA MAJHI,Jharkhand Mukti Morcha,0,3,0,GEETA KORA,Bharatiya Janata Party,0,8,0,168402,Result Declared,Jharkand
Ahmedabad East,7,HASMUKHBHAI PATEL (H.S.PATEL),Bharatiya Janata Party,0,25,0,HIMMATSINH PRAHLADSINH PATEL,Indian National Congress,0,1,0,461755,Result Declared,Gujarat
Ahmedabad West,8,DINESHBHAI MAKWANA (ADVOCATE),Bharatiya Janata Party,0,25,0,BHARAT YOGENDRA MAKWANA,Indian National Congress,0,1,0,286437,Result Declared,Gujarat
Amreli,14,BHARATBHAI MANUBHAI SUTARIYA,Bharatiya Janata Party,0,25,0,JENNY THUMMAR,Indian National Congress,0,1,0,321068,Result Declared,Gujarat
Anand,16,MITESH PATEL (BAKABHAI),Bharatiya Janata Party,0,25,0,AMIT CHAVDA,Indian National Congress,0,1,0,89939,Result Declared,Gujarat
Banaskantha,2,GENIBEN NAGAJI THAKOR,Indian National Congress,0,1,0,DR. REKHABEN HITESHBHAI CHAUDHARI,Bharatiya Janata Party,0,25,0,30406,Result Declared,Gujarat
Bardoli,23,PARBHUBHAI NAGARBHAI VASAVA,Bharatiya Janata Party,0,25,0,CHAUDHARY SIDDHARTH AMARSINH,Indian National Congress,0,1,0,230253,Result Declared,Gujarat
Bharuch,22,MANSUKHBHAI DHANJIBHAI VASAVA,Bharatiya Janata Party,0,25,0,CHAITARBHAI DAMJIBHAI VASAVA,Aam Aadmi Party,0,0,0,85696,Result Declared,Gujarat
Bhavnagar,15,NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),Bharatiya Janata Party,0,25,0,UMESHBHAI NARANBHAI MAKWANA,Aam Aadmi Party,0,0,0,455289,Result Declared,Gujarat
Chhota Udaipur,21,JASHUBHAI BHILUBHAI RATHVA,Bharatiya Janata Party,0,25,0,SUKHRAMBHAI HARIYABHAI RATHWA,Indian National Congress,0,1,0,398777,Result Declared,Gujarat
Dahod,19,JASWANTSINH SUMANBHAI BHABHOR,Bharatiya Janata Party,0,25,0,DR. PRABHABEN KISHORSINH TAVIYAD,Indian National Congress,0,1,0,333677,Result Declared,Gujarat
Gandhinagar,6,AMIT SHAH,Bharatiya Janata Party,0,25,0,SONAL RAMANBHAI PATEL,Indian National Congress,0,1,0,744716,Result Declared,Gujarat
Jamnagar,12,POONAMBEN HEMATBHAI MAADAM,Bharatiya Janata Party,0,25,0,ADVOCATE J. P. MARAVIYA,Indian National Congress,0,1,0,238008,Result Declared,Gujarat
Junagadh,13,CHUDASAMA RAJESHBHAI NARANBHAI,Bharatiya Janata Party,0,25,0,JOTVA HIRABHAI ARJANBHAI,Indian National Congress,0,1,0,135494,Result Declared,Gujarat
Kachchh,1,CHAVDA VINOD LAKHAMSHI,Bharatiya Janata Party,0,25,0,NITESH PARBATBHAI LALAN (MATANG),Indian National Congress,0,1,0,268782,Result Declared,Gujarat
Kheda,17,DEVUSINH CHAUHAN,Bharatiya Janata Party,0,25,0,KALUSINH DABHI,Indian National Congress,0,1,0,357758,Result Declared,Gujarat
Mahesana,4,HARIBHAI PATEL,Bharatiya Janata Party,0,25,0,RAMJI THAKOR,Indian National Congress,0,1,0,328046,Result Declared,Gujarat
Navsari,25,C R PATIL,Bharatiya Janata Party,0,25,0,NAISHADHBHAI BHUPATBHAI  DESAI,Indian National Congress,0,1,0,773551,Result Declared,Gujarat
Panchmahal,18,RAJPALSINH MAHENDRASINH JADAV,Bharatiya Janata Party,0,25,0,GULABSINH SOMSINH CHAUHAN,Indian National Congress,0,1,0,509342,Result Declared,Gujarat
Patan,3,DABHI  BHARATSINHJI  SHANKARJI,Bharatiya Janata Party,0,25,0,CHANDANJI TALAJI THAKOR,Indian National Congress,0,1,0,31876,Result Declared,Gujarat
Porbandar,11,DR. MANSUKH MANDAVIYA,Bharatiya Janata Party,0,25,0,LALIT VASOYA,Indian National Congress,0,1,0,383360,Result Declared,Gujarat
Rajkot,10,PARSHOTTAMBHAI RUPALA,Bharatiya Janata Party,0,25,0,DHANANI PARESH,Indian National Congress,0,1,0,484260,Result Declared,Gujarat
Sabarkantha,5,SHOBHANABEN MAHENDRASINH BARAIYA,Bharatiya Janata Party,0,25,0,CHAUDHARI TUSHAR AMARSINH,Indian National Congress,0,1,0,155682,Result Declared,Gujarat
Surat,24,MUKESHKUMAR CHANDRAKAANT DALAL,Bharatiya Janata Party,0,25,0,,,0,0,0,-,Uncontested,Gujarat
Surendranagar,9,CHANDUBHAI CHHAGANBHAI SHIHORA,Bharatiya Janata Party,0,25,0,RUTVIKBHAI LAVJIBHAI MAKWANA,Indian National Congress,0,1,0,261617,Result Declared,Gujarat
Vadodara,20,DR. HEMANG JOSHI,Bharatiya Janata Party,0,25,0,PADHIYAR  JASHPALSINH MAHENDRASINH (BAPU),Indian National Congress,0,1,0,582126,Result Declared,Gujarat
Valsad,26,DHAVAL LAXMANBHAI PATEL,Bharatiya Janata Party,0,25,0,ANANTKUMAR HASMUKHBHAI PATEL,Indian National Congress,0,1,0,210704,Result Declared,Gujarat
Amalapuram (SC),7,G M HARISH (BALAYOGI),Telugu Desam,0,16,0,RAPAKA VARAPRASADA RAO,Yuvajana Sramika Rythu Congress Party,0,4,0,342196,Result Declared,Andhra Pradesh
Anakapalle,5,C.M.RAMESH,Bharatiya Janata Party,0,3,0,BUDI MUTYALA NAIDU,Yuvajana Sramika Rythu Congress Party,0,4,0,296530,Result Declared,Andhra Pradesh
Ananthapur,19,AMBICA G LAKSHMINARAYANA VALMIKI,Telugu Desam,0,16,0,MALAGUNDLA SANKAR NARAYANA,Yuvajana Sramika Rythu Congress Party,0,4,0,188555,Result Declared,Andhra Pradesh
Araku (ST),1,GUMMA THANUJA RANI,Yuvajana Sramika Rythu Congress Party,0,4,0,KOTHAPALLI GEETHA,Bharatiya Janata Party,0,3,0,50580,Result Declared,Andhra Pradesh
Bapatla (SC),15,KRISHNA PRASAD TENNETI,Telugu Desam,0,16,0,NANDIGAM SURESH BABU,Yuvajana Sramika Rythu Congress Party,0,4,0,208031,Result Declared,Andhra Pradesh
Chittoor(SC),25,DAGGUMALLA PRASADA RAO,Telugu Desam,0,16,0,REDDEPPA.N .,Yuvajana Sramika Rythu Congress Party,0,4,0,220479,Result Declared,Andhra Pradesh
Eluru,10,PUTTA MAHESH KUMAR,Telugu Desam,0,16,0,KARUMURI SUNIL KUMAR,Yuvajana Sramika Rythu Congress Party,0,4,0,181857,Result Declared,Andhra Pradesh
Guntur,13,DR CHANDRA SEKHAR PEMMASANI,Telugu Desam,0,16,0,KILARI VENKATA ROSAIAH,Yuvajana Sramika Rythu Congress Party,0,4,0,344695,Result Declared,Andhra Pradesh
Hindupur,20,B K PARTHASARATHI,Telugu Desam,0,16,0,J SHANTHA,Yuvajana Sramika Rythu Congress Party,0,4,0,132427,Result Declared,Andhra Pradesh
Kadapa,21,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,0,4,0,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,0,16,0,62695,Result Declared,Andhra Pradesh
Kakinada,6,TANGELLA UDAY SRINIVAS (TEA TIME UDAY),Janasena Party,0,2,0,CHALAMALASETTY SUNIL,Yuvajana Sramika Rythu Congress Party,0,4,0,229491,Result Declared,Andhra Pradesh
Kurnoolu,18,BASTIPATI NAGARAJU PANCHALINGALA,Telugu Desam,0,16,0,B Y RAMAIAH,Yuvajana Sramika Rythu Congress Party,0,4,0,111298,Result Declared,Andhra Pradesh
Machilipatnam,11,BALASHOWRY VALLABHANENI,Janasena Party,0,2,0,SIMHADRI CHANDRA SEKHAR RAO,Yuvajana Sramika Rythu Congress Party,0,4,0,223179,Result Declared,Andhra Pradesh
Nandyal,17,DR BYREDDY SHABARI,Telugu Desam,0,16,0,POCHA BRAHMANANDA REDDY,Yuvajana Sramika Rythu Congress Party,0,4,0,111975,Result Declared,Andhra Pradesh
Narsapuram,9,BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),Bharatiya Janata Party,0,3,0,UMABALA GUDURI,Yuvajana Sramika Rythu Congress Party,0,4,0,276802,Result Declared,Andhra Pradesh
Narsaraopet,14,LAVU SRIKRISHNA DEVARAYALU,Telugu Desam,0,16,0,ANIL KUMAR POLUBOINA,Yuvajana Sramika Rythu Congress Party,0,4,0,159729,Result Declared,Andhra Pradesh
Nellore,22,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,0,16,0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,0,4,0,245902,Result Declared,Andhra Pradesh
Ongole,16,MAGUNTA SREENIVASULU REDDY,Telugu Desam,0,16,0,DR CHEVIREDDY BHASKAR REDD,Yuvajana Sramika Rythu Congress Party,0,4,0,50199,Result Declared,Andhra Pradesh
Rajahmundry,8,DAGGUBATI PURANDHESHWARI,Bharatiya Janata Party,0,3,0,DR. GUDURI SRINIVAS,Yuvajana Sramika Rythu Congress Party,0,4,0,239139,Result Declared,Andhra Pradesh
Rajampet,24,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,0,4,0,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,0,3,0,76071,Result Declared,Andhra Pradesh
Srikakulam,2,KINJARAPU RAMMOHAN NAIDU,Telugu Desam,0,16,0,TILAK PERADA,Yuvajana Sramika Rythu Congress Party,0,4,0,327901,Result Declared,Andhra Pradesh
Thirupathi(SC),23,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,0,4,0,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,0,3,0,14569,Result Declared,Andhra Pradesh
Vijayawada,12,KESINENI SIVANATH (CHINNI),Telugu Desam,0,16,0,KESINENI SRINIVAS  (NANI),Yuvajana Sramika Rythu Congress Party,0,4,0,282085,Result Declared,Andhra Pradesh
Visakhapatnam,4,SRIBHARAT MATHUKUMILI,Telugu Desam,0,16,0,JHANSI LAKSHMI. BOTCHA.,Yuvajana Sramika Rythu Congress Party,0,4,0,504247,Result Declared,Andhra Pradesh
Vizianagaram,3,APPALANAIDU KALISETTI,Telugu Desam,0,16,0,BELLANA CHANDRASEKHAR,Yuvajana Sramika Rythu Congress Party,0,4,0,249351,Result Declared,Andhra Pradesh
BASTAR,10,MAHESH KASHYAP,Bharatiya Janata Party,0,10,0,KAWASI LAKHMA,Indian National Congress,0,1,0,55245,Result Declared,Chattisgarh
BILASPUR,5,TOKHAN SAHU,Bharatiya Janata Party,0,10,0,DEVENDRA YADAV,Indian National Congress,0,1,0,164558,Result Declared,Chattisgarh
DURG,7,VIJAY BAGHEL,Bharatiya Janata Party,0,10,0,RAJENDRA SAHU,Indian National Congress,0,1,0,438226,Result Declared,Chattisgarh
JANJGIR-CHAMPA,3,KAMLESH JANGDE,Bharatiya Janata Party,0,10,0,DR. SHIVKUMAR DAHARIYA,Indian National Congress,0,1,0,60000,Result Declared,Chattisgarh
KANKER,11,BHOJRAJ NAG,Bharatiya Janata Party,0,10,0,BIRESH THAKUR,Indian National Congress,0,1,0,1884,Result Declared,Chattisgarh
KORBA,4,JYOTSNA CHARANDAS MAHANT,Indian National Congress,0,1,0,SAROJ PANDEY,Bharatiya Janata Party,0,10,0,43283,Result Declared,Chattisgarh
MAHASAMUND,9,ROOP KUMARI CHOUDHARY,Bharatiya Janata Party,0,10,0,TAMRADHWAJ SAHU,Indian National Congress,0,1,0,145456,Result Declared,Chattisgarh
RAIGARH,2,RADHESHYAM RATHIYA,Bharatiya Janata Party,0,10,0,DR. MENKA DEVI SINGH,Indian National Congress,0,1,0,240391,Result Declared,Chattisgarh
RAIPUR,8,BRIJMOHAN AGRAWAL,Bharatiya Janata Party,0,10,0,VIKAS UPADHYAY,Indian National Congress,0,1,0,575285,Result Declared,Chattisgarh
RAJNANDGAON,6,SANTOSH PANDEY,Bharatiya Janata Party,0,10,0,BHUPESH BAGHEL,Indian National Congress,0,1,0,44411,Result Declared,Chattisgarh
SURGUJA,1,CHINTAMANI MAHARAJ,Bharatiya Janata Party,0,10,0,SHASHI SINGH KORAM,Indian National Congress,0,1,0,64822,Result Declared,Chattisgarh
North Goa,1,SHRIPAD YESSO NAIK,Bharatiya Janata Party,0,1,0,RAMAKANT KHALAP,Indian National Congress,0,1,0,116015,Result Declared,Goa
South Goa,2,CAPTAIN  VIRIATO FERNANDES,Indian National Congress,0,1,0,PALLAVI SHRINIVAS DEMPO,Bharatiya Janata Party,0,1,0,13535,Result Declared,Goa
Arunachal East,2,TAPIR GAO,Bharatiya Janata Party,0,2,0,BOSIRAM SIRAM,Indian National Congress,0,0,0,30421,Result Declared,Arunachal Pradesh
Arunachal West,1,KIREN RIJIJU,Bharatiya Janata Party,0,2,0,NABAM TUKI,Indian National Congress,0,0,0,100738,Result Declared,Arunachal Pradesh
Chandni Chowk,1,PRAVEEN KHANDELWAL,Bharatiya Janata Party,0,7,0,JAI PRAKASH AGARWAL,Indian National Congress,0,0,0,89325,Result Declared,Delhi
East Delhi,3,HARSH MALHOTRA,Bharatiya Janata Party,0,7,0,KULDEEP KUMAR (MONU),Aam Aadmi Party,0,0,0,93663,Result Declared,Delhi
New Delhi,4,BANSURI SWARAJ,Bharatiya Janata Party,0,7,0,SOMNATH BHARTI,Aam Aadmi Party,0,0,0,78370,Result Declared,Delhi
North-East Delhi,2,MANOJ TIWARI,Bharatiya Janata Party,0,7,0,KANHAIYA KUMAR,Indian National Congress,0,0,0,138778,Result Declared,Delhi
North-West Delhi,5,YOGENDER CHANDOLIYA,Bharatiya Janata Party,0,7,0,UDIT RAJ,Indian National Congress,0,0,0,290849,Result Declared,Delhi
South Delhi,7,RAMVIR SINGH BIDHURI,Bharatiya Janata Party,0,7,0,SAHI RAM,Aam Aadmi Party,0,0,0,124333,Result Declared,Delhi
